Species_Name,Breed_Name
Dog,Anatol Shepherd Mix
Dog,Chihuahua Shorthair/Yorkshire Terrier
Cat,Domestic Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,German Shepherd/Chow Chow
Dog,German Shepherd/Chow Chow
Dog,German Shepherd/Chow Chow
Dog,German Shepherd/Chow Chow
Cat,Domestic Shorthair Mix
Cat,Domestic Medium Hair Mix
Cat,Domestic Shorthair Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Cat,Domestic Medium Hair
Dog,Australian Shepherd Mix
Dog,Chihuahua Shorthair/Boston Terrier
Dog,Chihuahua Shorthair/Boston Terrier
Dog,Chihuahua Shorthair/Boston Terrier
Dog,Chihuahua Shorthair/Boston Terrier
Cat,Domestic Shorthair Mix
Dog,Pit Bull Mix
Dog,Pharaoh Hound Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Chihuahua Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Miniature Pinscher Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Chihuahua Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Miniature Schnauzer/Miniature Poodle
Dog,Miniature Schnauzer/Miniature Poodle
Dog,Miniature Schnauzer/Miniature Poodle
Dog,Miniature Schnauzer/Miniature Poodle
Dog,Pit Bull Mix
Cat,Domestic Medium Hair Mix
Dog,Dachshund Mix
Dog,Dachshund Mix
Dog,Dachshund Mix
Dog,Dachshund Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Other,Bat Mix
