Animal_ID,Found_Address
A705901,6302 Salcon Cliff Dr in Austin (TX)
A672721,Braker And Ih 35 in Austin (TX)
A727124,6600 Elm Creek Dr # 65 in Austin (TX)
A708203,Outside Jurisdiction
A708203,Outside Jurisdiction
A708203,1000 Ellingson in Austin (TX)
A708203,1000 Ellingson in Austin (TX)
A687563,Pleasant Valley And Lakeshore Dr in Austin (TX)
A645645,Austin (TX)
A645645,Austin (TX)
A645645,13021 Dessau  Rd in Austin (TX)
A645645,13021 Dessau  Rd in Austin (TX)
A671704,4900 Gonzales St in Austin (TX)
A671704,4900 Gonzales St in Austin (TX)
A671704,4900 Gonzales St in Austin (TX)
A671704,4900 Gonzales St in Austin (TX)
A671704,4900 Gonzales St in Austin (TX)
A671704,4900 Gonzales St in Austin (TX)
A671704,4900 Gonzales St in Austin (TX)
A671704,E 11Th St & Navasota St in Austin (TX)
A671704,E 11Th St & Navasota St in Austin (TX)
A671704,E 11Th St & Navasota St in Austin (TX)
A671704,E 11Th St & Navasota St in Austin (TX)
A671704,E 11Th St & Navasota St in Austin (TX)
A671704,E 11Th St & Navasota St in Austin (TX)
A671704,E 11Th St & Navasota St in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale Rd in Austin (TX)
A671704,812 Springdale Rd in Austin (TX)
A671704,812 Springdale Rd in Austin (TX)
A671704,812 Springdale Rd in Austin (TX)
A671704,812 Springdale Rd in Austin (TX)
A671704,812 Springdale Rd in Austin (TX)
A671704,812 Springdale Rd in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,812 Springdale in Austin (TX)
A671704,Gonzales St & Mansell Ave in Austin (TX)
A671704,Gonzales St & Mansell Ave in Austin (TX)
A671704,Gonzales St & Mansell Ave in Austin (TX)
A671704,Gonzales St & Mansell Ave in Austin (TX)
A671704,Gonzales St & Mansell Ave in Austin (TX)
A671704,Gonzales St & Mansell Ave in Austin (TX)
A671704,Gonzales St & Mansell Ave in Austin (TX)
A671704,755 Springdale Road in Austin (TX)
A671704,755 Springdale Road in Austin (TX)
A671704,755 Springdale Road in Austin (TX)
A671704,755 Springdale Road in Austin (TX)
A671704,755 Springdale Road in Austin (TX)
A671704,755 Springdale Road in Austin (TX)
A671704,755 Springdale Road in Austin (TX)
A689401,4902 Teri Rd in Austin (TX)
A708522,8800 N Ih 35 in Austin (TX)
A680462,Austin (TX)
A680462,Austin (TX)
A680462,7Th And Neches in Austin (TX)
A680462,7Th And Neches in Austin (TX)
A744588,Austin (TX)
A739274,Ridge Point in Austin (TX)
A730598,9705 Manchaca Rd in Austin (TX)
A730598,9705 Manchaca Rd in Austin (TX)
A730598,4401 Fm973 in Austin (TX)
A730598,4401 Fm973 in Austin (TX)
A715190,8824 Stanbourne in Austin (TX)
A677577,Austin (TX)
A742359,Austin (TX)
A673084,Travis (TX)
A719797,4434 Frontier Trl( Goodsam Didnt Leave Found Address in Austin (TX)
A666401,Austin (TX)
A666401,Austin (TX)
A666401,900 Neans Dr in Austin (TX)
A666401,900 Neans Dr in Austin (TX)
A722235,Golfcourse Rd And Hwy 973 in Austin (TX)
A722235,Golfcourse Rd And Hwy 973 in Austin (TX)
A722235,Austin (TX)
A722235,Austin (TX)
A683959,213 W Wild Sena in Austin (TX)
A707830,12151 Ih 35 in Austin (TX)
A671235,Austin (TX)
A669569,812 Springdale Rd in Austin (TX)
A742069,Colony Creek Dr And Briardale Dr in Austin (TX)
A708837,9802 Roxanna Drive in Austin (TX)
A692911,Ed Bluestein/Hwy 183 in Austin (TX)
A701451,7513 N Interstate Hwy 35 in Austin (TX)
A701451,7513 N Interstate Hwy 35 in Austin (TX)
A701451,Austin (TX)
A701451,Austin (TX)
A664609,10707 Lake Creek Parkway in Austin (TX)
A735591,Austin (TX)
A739153,South Ih-35 in Austin (TX)
A693840,6206 Carnation Ter in Austin (TX)
